LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
SENSEX,500875,I T C LTD, 0.70 ,FMCG
SENSEX,500325,RELIANCE, 0.55 ,Oil & Gas
SENSEX,532174,ICICI BANK L, 1.00 ,Finance
SENSEX,500209,INFOSYS LTD, 0.85 ,Information Technology
SENSEX,500180,HDFC BANK LT, 0.80 ,Finance
SENSEX,500010,HOUSING DEVE, 1.00 ,Finance
SENSEX,500510,LARSEN & TOU, 0.90 ,Capital Goods
SENSEX,532540,TCS LTD., 0.30 ,Information Technology
SENSEX,500112,STATE BANK O, 0.40 ,Finance
SENSEX,500570,TATA MOTORS, 0.70 ,Transport Equipments
SENSEX,500312,ONG CORP LTD, 0.25 ,Oil & Gas
SENSEX,500696,HIND UNI LT, 0.50 ,FMCG
SENSEX,500520,MAHINDRA & M, 0.75 ,Transport Equipments
SENSEX,532454,BHARTI ARTL, 0.35 ,Telecom
SENSEX,524715,SUN PHARMACE, 0.40 ,Healthcare
SENSEX,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
SENSEX,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
SENSEX,507685,WIPRO LTD., 0.25 ,Information Technology
SENSEX,532555,NTPC LTD, 0.20 ,Power
SENSEX,500124,DR.REDDY'S L, 0.75 ,Healthcare
SENSEX,533278,COAL INDIA, 0.10 ,"Metal,Metal Products & Mining"
SENSEX,532500,MARUTISUZUK, 0.50 ,Transport Equipments
SENSEX,500087,CIPLA LTD., 0.65 ,Healthcare
SENSEX,500103,BHEL, 0.35 ,Capital Goods
SENSEX,500182,HEROMOTOCO, 0.50 ,Transport Equipments
SENSEX,532155,GAIL INDIA, 0.40 ,Oil & Gas
SENSEX,532286,JINDAL STEEL, 0.45 ,"Metal,Metal Products & Mining"
SENSEX,500400,TATA POWER, 0.70 ,Power
SENSEX,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
SENSEX,500440,HINDALCO IN, 0.70 ,"Metal,Metal Products & Mining"
BSE-500,500875,I T C LTD, 0.70 ,FMCG
BSE-500,500325,RELIANCE, 0.55 ,Oil & Gas
BSE-500,532174,ICICI BANK L, 1.00 ,Finance
BSE-500,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE-500,500180,HDFC BANK LT, 0.80 ,Finance
BSE-500,500010,HOUSING DEVE, 1.00 ,Finance
BSE-500,500510,LARSEN & TOU, 0.90 ,Capital Goods
BSE-500,532540,TCS LTD., 0.30 ,Information Technology
BSE-500,500112,STATE BANK O, 0.40 ,Finance
BSE-500,500570,TATA MOTORS, 0.70 ,Transport Equipments
BSE-500,500312,ONG CORP LTD, 0.25 ,Oil & Gas
BSE-500,500696,HIND UNI LT, 0.50 ,FMCG
BSE-500,500520,MAHINDRA & M, 0.75 ,Transport Equipments
BSE-500,532454,BHARTI ARTL, 0.35 ,Telecom
BSE-500,532215,AXIS BANK, 0.65 ,Finance
BSE-500,524715,SUN PHARMACE, 0.40 ,Healthcare
BSE-500,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE-500,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE-500,500247,KOTAK BANK, 0.55 ,Finance
BSE-500,507685,WIPRO LTD., 0.25 ,Information Technology
BSE-500,532555,NTPC LTD, 0.20 ,Power
BSE-500,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE-500,533278,COAL INDIA, 0.10 ,"Metal,Metal Products & Mining"
BSE-500,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE-500,532659,IDFC, 0.85 ,Finance
BSE-500,532792,CAIRN IND, 0.35 ,Oil & Gas
BSE-500,500087,CIPLA LTD., 0.65 ,Healthcare
BSE-500,500820,ASIAN PAINTS, 0.50 ,Chemical & Petrochemical
BSE-500,532538,ULTRATECH CM, 0.40 ,Housing Related
BSE-500,500103,BHEL, 0.35 ,Capital Goods
BSE-500,500300,GRASIM INDUS, 0.70 ,Textile
BSE-500,500790,NESTLE LTD, 0.40 ,FMCG
BSE-500,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE-500,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE-500,532898,POWER GRID, 0.35 ,Power
BSE-500,532187,INDUS IND BK, 0.80 ,Finance
BSE-500,532286,JINDAL STEEL, 0.45 ,"Metal,Metal Products & Mining"
BSE-500,500400,TATA POWER, 0.70 ,Power
BSE-500,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE-500,532281,HCL TECHNO, 0.40 ,Information Technology
BSE-500,500440,HINDALCO IN, 0.70 ,"Metal,Metal Products & Mining"
BSE-500,532432,UNITD SPR, 0.70 ,FMCG
BSE-500,532134,BANK OF BARO, 0.45 ,Finance
BSE-500,500257,LUPIN LTD, 0.55 ,Healthcare
BSE-500,500425,AMBUJA CEME, 0.50 ,Housing Related
BSE-500,532648,YES BANK, 0.75 ,Finance
BSE-500,505537,ZEE ENTER, 0.60 ,Media & Publishing
BSE-500,500410,ACC LTD, 0.50 ,Housing Related
BSE-500,526371,NMDC LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE-500,500114,TITAN IND., 0.50 ,Consumer Durables
BSE-500,532461,PUNJAB NATBK, 0.40 ,Finance
BSE-500,532532,JAIPRAK ASSO, 0.55 ,Housing Related
BSE-500,500547,BHARAT PETRO, 0.40 ,Oil & Gas
BSE-500,500830,COLGATE PALM, 0.50 ,FMCG
BSE-500,500676,GLAXOSMI CON, 0.60 ,FMCG
BSE-500,532868,DLF LIMITED, 0.25 ,Housing Related
BSE-500,511218,SHRIRAM TRAN, 0.55 ,Finance
BSE-500,500228,JSW SL, 0.50 ,"Metal,Metal Products & Mining"
